Question,Intent
how is your morning so far,ST
how are you getting on,ST
how's your day going,ST
How have things been,ST
how are you?,ST
is everything all right,ST
how are you doing?,ST
how are the things going,ST
are you alright,ST
are you okay?,ST
how are you feeling,ST
how are you going?,ST
is everything okay,ST
how are you today?,ST
how do you do?,ST
how do you feel?,ST
how have you been?,ST
how is it going?,ST
how is your day,ST
how is your day going,ST
how is your evening,ST
how was your day,ST
are you having a good day,ST
hope your day is going well,ST
hope you re having a pleasant evening,ST
how's life?,ST
I'm fine and you,ST
how is your life,ST
how has your day been,ST
how is your morning going,ST
how has your day been going,ST
how about you?,ST
how is your day being,ST
how is your day going on,ST
how your day is going,ST
what was your day like,ST
what about your day,ST
how's your day,ST
how are you doing this morning,ST
how do you do?,ST
how are you,ST
how are you,ST
long time no see,HI
hello,HI
hi,HI
howdy,HI
hey there,HI
hey,HI
greetings,HI
I greet you,HI
hi there,HI
hello there,HI
lovely day isn't it,HI
hello again,HI
just going to say hi,HI
hi there,HI
a good day,HI
afternoon,HI
hello hi,HI
heya,HI
hey,HI
hi,HI
hi,HI
Hello,HI
hey,HI
hey man,HI
hey there,HI
hey buddy,HI
oka,HI
yo man,HI
Yo,HI
sup,HI
yoo,HI
hola,HI
I'm lola,NC
can you change my name to shixal,NC
can you start calling be brad,NC
start calling me tito,NC
Call me bradley,NC
Change my to naruto,NC
My name is angela,NC
My name is shrangler,NC
Start calling me tito,NC
my name's devilo,NC
I'm called yup,NC
Change my name to sseett,NC
I am dandelina,NC
My name is John,NC
Please change my name to samantha,NC
Can you call me jake,NC
you can call me Nabuchadnezzar,NC
refer to me as Krishnamurti,NC
I would like to be called Ammar,NC
call me jacob,NC
my name is miyamoto musashi,NC
change my name to John dillinger,NC
please call me zachariah debuke,NC
can you change my name to pichael,NC
I'd like you to change my name to MLK,NC
start calling me roald,NC
you can now call me Angela,NC
name me hammock,NC
Now my name is felipe esparza,NC
Change my name to Esprit,NC
I'm now shmlonathan,NC
From now on call me Shoney,NC
Refer to me as gonzo,NC
Please change my name to mansa musa,NC
I want you to call me C3P0,NC
I'm changing my name to R2D2,NC
Start calling me hank,NC
my name is now audible,NC
I'm max wilder,NC
I am yohannes,NC
what causes photo red eye,IR
how many students go to santa barbara,IR
what is a notary for,IR
who wrote a rose is a rose is a rose,IR
who won the 2009 super bowl,IR
what state is new england in,IR
WHAT IS A LAW ENFORCEMENT MURDER BOOK,IR
what are add ons,IR
when was raphael born,IR
who are the members of the climax blues band?,IR
what is grist mill stone,IR
how is human height measured,IR
how is ASP.NET different from .NET,IR
how did Anne Frank die,IR
how many days are in a leap year,IR
when was Saddle Creek founded,IR
what is the average american income,IR
When was Apple Computer founded,IR
where does a flea live,IR
Where do we go when we die?,IR
what does s.h.i.e.l.d stand for,IR
how old r Dylan and Cole Sprouse,IR
When did MLK die,IR
what composer used sound mass,IR
What committees are joint committees,IR
how did harmon killebrew get strong,IR
how does interlibrary loan work,IR
how many presidents of the us,IR
how long was i love lucy on the air,IR
how are glacier caves formed?,IR
how are aircraft radial engines built,IR
how are public schools funded,IR
how is single malt scotch made,IR
what county is tacoma washington in,IR
what does life insurance cover?,IR
what caused ww,IR
where did mark jackson play pro basketball?,IR
what county is galveston in texas,IR
What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,IR
when did the civil war start and where,IR
who played dumbledore in harry potter,IR
what is an army specialist,IR
who wrote stand by me,IR
what are the catholic gifts of the holy spirit,IR
What is a surveyors wheel,IR
what are arizona's symbols,IR
how does a steam engine work,IR
how does lsd impact the human body,IR
what does bruce jenner do,IR
what does the word shlonak mean,IR
